SKU,Quantity,Reason,Month,Year
tmnt045Leo-XXL,1,AMZ-PG-APP-TOO-SMALL,June,2023
PRangersShirtYouth-Red-XS,1,AMZ-PG-APP-TOO-LARGE,June,2023
suicidesquad004-M,1,CR-DEFECTIVE,June,2023
PowerRangers-Black-SLShirt-2XL,1,CR-UNWANTED_ITEM,June,2023
machomanbandana-Pink,1,AMZ-PG-APP-STYLE,June,2023
100578BLACK-L,1,CR-UNWANTED_ITEM,June,2023
G0MSC20-VenkmanShirt-XL,1,AMZ-PG-APP-TOO-SMALL,June,2023
soahat005-S/M,1,AMZ-PG-APP-TOO-LARGE,June,2023
frankie002-M,1,AMZ-PG-APP-STYLE,June,2023
drseuss015-XXL,1,AMZ-PG-APP-TOO-SMALL,June,2023
hoosiers003-L,1,AMZ-PG-APP-TOO-SMALL,June,2023
soahat005-L/XL,1,AMZ-PG-APP-TOO-SMALL,June,2023
Juno001-L,1,AMZ-PG-APP-TOO-SMALL,June,2023
WillysWonderland-Shirt-L,1,AMZ-PG-APP-TOO-SMALL,June,2023
EMVC1019TV-CousinEddieHat,2,CR-UNWANTED_ITEM,June,2023
biglpants001-XL,1,CR-UNWANTED_ITEM,June,2023
ferris002-L,1,CR-SWITCHEROO,June,2023
NasaBoots-PLZZ7270TV-10-11,1,AMZ-PG-APP-STYLE,June,2023
ApolloShorts-L,1,AMZ-PG-APP-TOO-SMALL,June,2023
220715-AirForcePilotKidsCostume-10/12,1,CR-SWITCHEROO,June,2023
GM0002-TrixRabbitLoungePants-M,1,CR-DEFECTIVE,June,2023
DSSCDRA-MickeyHeadsHoliday-S,1,AMZ-PG-APP-TOO-SMALL,June,2023
ferris002-L,1,CR-SWITCHEROO,June,2023
Hoff001-M,1,AMZ-PG-APP-TOO-SMALL,June,2023
SoapLoofahCostume,1,CR-DEFECTIVE,June,2023
machomanbandana-Red,1,CR-MISSED_ESTIMATED_DELIVERY,June,2023
hoosiers003-XL,1,DID_NOT_LIKE_COLOR,June,2023
flashgordoncostume001-L,1,CR-UNWANTED_ITEM,June,2023
albundy005a-YXL,1,AMZ-PG-BAD-DESC,June,2023
220944-BarfCostumeSet-L-XL,1,CR-DEFECTIVE,June,2023
103007-WrestlingBoots-L,1,CR-SWITCHEROO,June,2023
oktoberfestmaid001PURPLE-22,1,AMZ-PG-APP-TOO-SMALL,June,2023
220660rsm,1,CR-MISSED_ESTIMATED_DELIVERY,June,2023
madhatterpurse001,1,DID_NOT_LIKE_FABRIC,June,2023
TMNTShirt-Youth-Leonardo-XS,1,CR-DEFECTIVE,June,2023
mm003JRSblue-L,1,CR-SWITCHEROO,June,2023
mm003JRSgreen-M,1,AMZ-PG-APP-TOO-SMALL,June,2023
mm001Norg-XL,1,CR-UNWANTED_ITEM,June,2023
M&M-Yellow-JUNIORS-Shirt-S,1,AMZ-PG-APP-TOO-SMALL,June,2023
220814-PowerRangerPJ-BLU-2XL,1,CR-UNWANTED_ITEM,June,2023
220814-PowerRangerPJ-GRN-2XL,1,CR-UNWANTED_ITEM,June,2023
Thing1-6-UnionSuit-ADULT-M,1,CR-DEFECTIVE,June,2023
leagueoftheirownGIRLS-5/6,1,AMZ-PG-APP-TOO-LARGE,June,2023
tmntapriloneilcostume-S/M,1,AMZ-PG-APP-TOO-SMALL,June,2023
SNL007tan-XL,1,AMZ-PG-APP-TOO-SMALL,June,2023
PRangersShirtYouth-Yellow-L,1,CR-UNWANTED_ITEM,June,2023
sbtbslaterjersey-XL,1,AMZ-PG-APP-TOO-SMALL,June,2023
scarfaceglasses001,1,AMZ-PG-APP-TOO-SMALL,June,2023
caddyshackhat002,1,AMZ-PG-BAD-DESC,June,2023
nwo002N-XL,1,CR-DEFECTIVE,June,2023
B3SA2051TV-BobRossPants-2XL,1,CR-SWITCHEROO,June,2023
alsunny022-L,1,AMZ-PG-APP-TOO-SMALL,June,2023
caddyshackhat003,1,AMZ-PG-APP-TOO-SMALL,June,2023
hulkglassesN-yellow,1,CR-UNWANTED_ITEM,June,2023
wrestlingboots-XLB,1,CR-UNWANTED_ITEM,June,2023
sharkcostume-XXL,1,AMZ-PG-APP-TOO-SMALL,June,2023
tmnt016-Mike-Mens-XS,1,AMZ-PG-APP-TOO-LARGE,June,2023
mm003JRSorange-XL,1,AMZ-PG-APP-TOO-SMALL,June,2023
mm003JRSblue-L,1,AMZ-PG-APP-TOO-SMALL,June,2023
sein034-M,1,CR-UNWANTED_ITEM,June,2023
tmnt016-Raph-Mens-2XL,1,CR-MISSED_ESTIMATED_DELIVERY,June,2023
tmnt016-Leo-Mens-XL,1,AMZ-PG-APP-TOO-LARGE,June,2023
BrennanVest-S,1,AMZ-PG-APP-STYLE,June,2023
DaleVest-2XL,1,CR-UNWANTED_ITEM,June,2023
220757-AverageJoesWomensSet-M,1,AMZ-PG-BAD-DESC,June,2023
dodgeball003-XL,1,AMZ-PG-APP-TOO-LARGE,June,2023
HEKA00ZMSC-KoolAidShirt-XL,1,AMZ-PG-APP-TOO-LARGE,June,2023
doubledare001red-XL,1,AMZ-PG-APP-TOO-LARGE,June,2023
redboa001N,1,CR-QUALITY_UNACCEPTABLE,June,2023
rickmortyONESIE001-M,1,AMZ-PG-APP-TOO-LARGE,June,2023
rickmortyONESIE001-L,1,AMZ-PG-APP-TOO-LARGE,June,2023
RetroWigHeadband-1191,1,CR-UNWANTED_ITEM,June,2023
PowerRangers-Yellow-SLShirt-S,1,AMZ-PG-APP-TOO-SMALL,June,2023
PowerRangers-Green-SLShirt-L,1,AMZ-PG-APP-TOO-SMALL,June,2023
tmnt045Raph-L,1,AMZ-PG-APP-TOO-LARGE,June,2023
220893-TedLassoSweater-L,1,AMZ-PG-BAD-DESC,June,2023
DW0039-DWClassicBoxers-M,1,AMZ-PG-APP-TOO-LARGE,June,2023
mm001Nblu-XS,1,AMZ-PG-APP-TOO-SMALL,June,2023
DSTS26LGS-BuzzLightyearJuniotsTshirt-M,1,AMZ-PG-APP-TOO-LARGE,June,2023
plumtree001-XL,1,AMZ-PG-APP-STYLE,June,2023
sbb015n-XXL,1,AMZ-PG-APP-TOO-SMALL,June,2023
NL029-ChristmasVacationPajamaSet-L,1,CR-SWITCHEROO,June,2023
220837-ShittersFullSlipper-11,1,CR-SWITCHEROO,June,2023
starwars017-XXL,1,AMZ-PG-APP-TOO-SMALL,June,2023
sbb015-L,1,AMZ-PG-APP-TOO-LARGE,June,2023
greatest002-L,1,AMZ-PG-APP-TOO-SMALL,June,2023
WB1658-WB1659-WonderWomanCostumeSet1-M,1,CR-DEFECTIVE,June,2023
miami036-XL,2,AMZ-PG-BAD-DESC,June,2023
sbb023-L/XL,1,CR-UNWANTED_ITEM,June,2023
nerdstankdressPINK-L,1,AMZ-PG-APP-TOO-LARGE,June,2023
XB4D1DDRW-DrWhoGiftSet,11,CR-UNWANTED_ITEM,June,2023
220851-CruJones-L,1,CR-UNWANTED_ITEM,June,2023
TMNTShirt-Youth-Raphael-S,1,CR-QUALITY_UNACCEPTABLE,June,2023
caddyshackhat002,1,AMZ-PG-APP-STYLE,June,2023
aerosmith002-M,1,AMZ-PG-APP-STYLE,June,2023
watchmen006-M,1,CR-UNWANTED_ITEM,June,2023
tmnteyemaskset,4,CR-MISSED_ESTIMATED_DELIVERY,June,2023
tmnt045Don-XL,1,CR-UNWANTED_ITEM,June,2023
mermaidfin001PURPLE-L/XL,1,CR-DEFECTIVE,June,2023
dodgeball003N-M,1,CR-UNWANTED_ITEM,June,2023
gumby005-S,1,AMZ-PG-APP-TOO-LARGE,June,2023
suicidesquad004-M,1,AMZ-PG-APP-TOO-SMALL,June,2023
nwo001-M,1,AMZ-PG-BAD-DESC,June,2023
tootsiecolortankPink-S,1,CR-UNWANTED_ITEM,June,2023
superherocape002CHILDblu-blu,1,CR-UNWANTED_ITEM,June,2023
mm003JRSblue-S,1,CR-UNWANTED_ITEM,June,2023
sbb015n-L,1,AMZ-PG-APP-TOO-LARGE,June,2023
wrestlingboots-MB,1,CR-SWITCHEROO,June,2023
3001-White-ChampionShirt-XXL,1,CR-UNWANTED_ITEM,June,2023
machomanbandana-Pink,1,DID_NOT_LIKE_FABRIC,June,2023
blowupguitar,2,CR-UNWANTED_ITEM,June,2023
220901-FreshPrinceCostume-L,1,CR-UNWANTED_ITEM,June,2023
mm003JRSgreen-XXL,1,AMZ-PG-APP-TOO-SMALL,June,2023
mm001Nred-M,1,AMZ-PG-APP-TOO-SMALL,June,2023
mm001Nblu-L,1,CR-UNWANTED_ITEM,June,2023
220901-FreshPrinceCostume-L,1,CR-MISSED_ESTIMATED_DELIVERY,June,2023
tmnt016-Don-Mens-M,1,CR-UNWANTED_ITEM,June,2023
220066-SpacemenChubSuit-Adult,1,AMZ-PG-APP-TOO-SMALL,June,2023
